ISSUER,PRODUCT,ACCOUNT_NUMBER,DIM1
Elisa Oyj,"Elisa Viihde,Saunalahti Kotikuitu",8500,elisa
DNA Oyj,0451275927 / OLLI PÖYRY,8500,dna
